ID    |TERMINO                       |CF    |DF    
13729 |gif                           |36    |21    
13730 |gig                           |2     |1     
13731 |gigabyt                       |1     |1     
13732 |gil                           |6     |6     
13733 |gilardi                       |1     |1     
13734 |gilbert                       |1     |1     
13735 |gim                           |2     |2     
13736 |gimenez                       |2     |2     
13737 |gimnasi                       |6     |6     
13738 |gimnast                       |2     |1     
13739 |gimper                        |1     |1     
13740 |gin                           |4     |4     
13741 |ginebr                        |1     |1     
13742 |ginecocraci                   |1     |1     
13743 |ginecolog                     |3     |2     
13744 |ginecologi                    |1     |1     
13745 |gingaconveni                  |1     |1     
13746 |ginzburg                      |1     |1     
13747 |giordan                       |3     |3     
13748 |giorgi                        |3     |2     
13749 |giorgianni                    |1     |1     
13750 |giovagnini                    |1     |1     
13751 |giovambatt                    |1     |1     
13752 |giovann                       |1     |1     
13753 |gir                           |8     |8     
13754 |giralt                        |1     |1     
13755 |girat                         |1     |1     
13756 |girolami                      |1     |1     
13757 |giron                         |1     |1     
13758 |giroscopi                     |2     |1     
13759 |gisel                         |5     |5     
13760 |giselam@inti.gov.ar           |1     |1     
13761 |git                           |1     |1     
13762 |giudic                        |1     |1     
13763 |giuffr                        |3     |1     
13764 |giulian                       |1     |1     
13765 |giuliani                      |1     |1     
13766 |giurgiovich                   |2     |1     
13767 |giusti                        |1     |1     
13768 |giusti@biol.unlp.edu.ar       |1     |1     
13769 |giv                           |2     |2     
13770 |gladys                        |4     |4     
13771 |glend                         |1     |1     
13772 |glicosil                      |1     |1     
13773 |glikin                        |1     |1     
13774 |glob                          |1     |1     
13775 |global                        |17    |17    
13776 |globaliz                      |9     |9     
13777 |globalizacion                 |7     |7     
13778 |globallaboratori              |1     |1     
13779 |globals                       |3     |1     
13780 |glori                         |5     |5     
13781 |glorios                       |1     |1     
13782 |glosari                       |7     |2     
13783 |glossyblu                     |4     |1     
13784 |glow                          |1     |1     
13785 |glucemi                       |3     |1     
13786 |glucos                        |2     |2     
13787 |gluna@ing.unrc.edu.ar         |1     |1     
13788 |gmt                           |2     |2     
13789 |gnogueira@unsam.edu.ar        |2     |1     
13790 |gnu                           |7     |6     
13791 |goa                           |1     |1     
13792 |gobat                         |1     |1     
13793 |gobern                        |13    |12    
13794 |gobernacion                   |1     |1     
13795 |gobi                          |13    |10    
13796 |gobiern                       |56    |56    
13797 |goc                           |2     |2     
13798 |godoy                         |3     |3     
13799 |goenag                        |1     |1     
13800 |goes                          |1     |1     
13801 |goetting                      |1     |1     
13802 |goicoche                      |2     |2     
13803 |goicoeche                     |1     |1     
13804 |gol                           |2     |1     
13805 |gold                          |4     |3     
13806 |goldberg                      |4     |1     
13807 |goldcorp                      |3     |1     
13808 |goldstein                     |1     |1     
13809 |goldsz                        |2     |1     
13810 |goli                          |3     |1     
13811 |goll                          |2     |1     
13812 |goloboff                      |1     |1     
13813 |golombek                      |1     |1     
13814 |golp                          |7     |7     
13815 |gomez                         |11    |10    
13816 |gomezmartinez                 |1     |1     
13817 |gomis                         |2     |2     
13818 |gondr                         |1     |1     
13819 |gonell                        |3     |2     
13820 |gonnet                        |4     |2     
13821 |gonzal                        |8     |8     
13822 |gonzalez                      |16    |16    
13823 |gonzalotitul                  |1     |1     
13824 |googl                         |76    |76    
13825 |googleweath                   |1     |1     
13826 |gordill                       |2     |2     
13827 |gordini                       |1     |1     
13828 |gordinis                      |1     |1     
13829 |gorett                        |1     |1     
13830 |gori                          |1     |1     
13831 |gorodisch                     |5     |2     
13832 |gorostiz                      |1     |1     
13833 |gorrion                       |1     |1     
13834 |gosearch                      |1     |1     
13835 |gossenbach@edu.uned.es        |1     |1     
13836 |got                           |1     |1     
13837 |gourliean                     |1     |1     
13838 |gourmet                       |1     |1     
13839 |gov                           |1     |1     
13840 |goverments                    |1     |1     
13841 |government                    |2     |2     
13842 |goy                           |3     |2     
13843 |goyenech                      |2     |2     
13844 |goz                           |3     |3     
13845 |gpl                           |5     |4     
13846 |gpr@quimica.unlp.edu.ar       |1     |1     
13847 |gps                           |1     |1     
13848 |gpu                           |1     |1     
13849 |gra                           |2     |2     
13850 |graalonso@fibertel.com.ar     |1     |1     
13851 |grab                          |2     |2     
13852 |grabacion                     |4     |4     
13853 |grabador                      |1     |1     
13854 |graci                         |15    |15    
13855 |graciaren                     |1     |1     
13856 |graciel                       |19    |18    
13857 |gracios                       |2     |1     
13858 |grad                          |115   |114   
13859 |gradient                      |3     |2     
13860 |gradoadmision                 |6     |1     
13861 |gradocarrer                   |1     |1     
13862 |gradocontactat                |1     |1     
13863 |gradod                        |1     |1     
13864 |gradohorari                   |4     |1     
13865 |gradomuse                     |4     |1     
13866 |gradotesin                    |2     |1     
13867 |gradu                         |67    |66    
13868 |graduacion                    |5     |5     
13869 |graduados@fapyd.unr.edu.ar    |2     |1     
13870 |graduados@fbioyf.unr.edu.ar   |2     |1     
13871 |graduadosact                  |6     |1     
13872 |graduadoscomision             |1     |1     
13873 |gradual                       |2     |2     
13874 |grafex                        |1     |1     
13875 |graffign                      |1     |1     
13876 |graffiti                      |1     |1     
13877 |grafic                        |34    |25    
13878 |graficosistem                 |1     |1     
13879 |grag                          |1     |1     
13880 |graham                        |1     |1     
13881 |grajal                        |1     |1     
13882 |gral                          |22    |21    
13883 |gramaj                        |2     |1     
13884 |gramat                        |1     |1     
13885 |gramofon                      |1     |1     
13886 |gran                          |45    |45    
13887 |granbuen                      |1     |1     
13888 |grand                         |30    |30    
13889 |grande1                       |2     |1     
13890 |grandi                        |1     |1     
13891 |grands                        |2     |1     
13892 |granel                        |1     |1     
13893 |granilloespaci                |1     |1     
13894 |granj                         |2     |2     
13895 |granosn                       |2     |1     
13896 |granpart                      |1     |1     
13897 |granul                        |1     |1     
13898 |graph                         |4     |1     
13899 |graphic                       |4     |4     
13900 |graphics                      |3     |2     
13901 |graphicsd                     |40    |2     
13902 |gras                          |3     |3     
13903 |grasi                         |1     |1     
13904 |grass                         |1     |1     
13905 |grat                          |2     |2     
13906 |gratif                        |4     |4     
13907 |gratis                        |7     |6     
13908 |gratiut                       |2     |2     
13909 |gratuid                       |1     |1     
13910 |gratuit                       |32    |31    
13911 |grau                          |1     |1     
13912 |grav                          |6     |6     
13913 |gravagn                       |2     |1     
13914 |graved                        |3     |3     
13915 |gravement                     |2     |2     
13916 |graveron@bib.unne.edu.ar      |1     |1     
13917 |gravimetr                     |1     |1     
13918 |gravis                        |1     |1     
13919 |gravitatori                   |1     |1     
13920 |gray                          |3     |2     
13921 |graziel                       |1     |1     
13922 |gre                           |4     |3     
13923 |great                         |1     |1     
13924 |grec                          |3     |3     
13925 |greci                         |4     |2     
13926 |greek                         |3     |3     
13927 |gregori                       |7     |6     
13928 |grel                          |1     |1     
13929 |gremi                         |2     |2     
13930 |gremial                       |2     |2     
13931 |grenobl                       |3     |2     
13932 |grep                          |1     |1     
13933 |grid                          |2     |1     
13934 |grieg                         |3     |2     
13935 |griet                         |1     |1     
13936 |griger                        |1     |1     
13937 |grill                         |3     |3     
13938 |grillet                       |1     |1     
13939 |grimaldi                      |1     |1     
13940 |grimson                       |3     |1     
13941 |grip                          |4     |4     
13942 |gripp                         |1     |1     
13943 |gris                          |1     |1     
13944 |griseld                       |5     |5     
13945 |griselli                      |1     |1     
13946 |grisoli                       |2     |1     
13947 |grit                          |4     |3     
13948 |grobert@correo.inta.gov.ar    |1     |1     
13949 |groh                          |1     |1     
13950 |groism                        |1     |1     
13951 |gromov                        |1     |1     
13952 |groov                         |2     |1     
13953 |gropp                         |3     |1     
13954 |gros                          |1     |1     
13955 |gross                         |3     |2     
13956 |grossi                        |1     |1     
13957 |grossm                        |1     |1     
13958 |grotesc                       |1     |1     
13959 |grotteri                      |1     |1     
13960 |group                         |3     |3     
13961 |group1                        |1     |1     
13962 |groups                        |1     |1     
13963 |growth                        |2     |2     
13964 |grpnam                        |4     |3     
13965 |grs                           |1     |1     
13966 |gruggiero@ungs.edu.ar         |2     |1     
13967 |grun                          |1     |1     
13968 |grup                          |67    |65    
13969 |grupal                        |10    |10    
13970 |grupalescurs                  |1     |1     
13971 |grut                          |1     |1     
13972 |grynspan                      |1     |1     
13973 |gsagadi                       |1     |1     
13974 |gsc                           |4     |3     
13975 |gsy                           |1     |1     
13976 |gtalk                         |1     |1     
13977 |gtbexternal                   |2     |1     
13978 |gtec                          |7     |1     
13979 |gtz                           |1     |1     
13980 |guad                          |2     |1     
13981 |guadalaj                      |6     |3     
13982 |guadalup                      |7     |2     
13983 |gualeguaychu                  |4     |3     
13984 |gualeguaychu11                |1     |1     
13985 |guanajuat                     |2     |1     
13986 |guar                          |2     |2     
13987 |guarani                       |24    |24    
13988 |guarani3w                     |21    |20    
13989 |guarani3wif                   |8     |7     
13990 |guarani@dch.unne.edu.ar       |1     |1     
13991 |guarani@odn.unne.edu.ar       |1     |1     
13992 |guarani@unne.edu.ar           |2     |2     
13993 |guaranicontact                |2     |1     
13994 |guaranihorari                 |18    |1     
13995 |guarant                       |1     |1     
13996 |guarc                         |2     |1     
13997 |guard                         |5     |5     
13998 |guardi                        |3     |3     
13999 |guardia2                      |1     |1     
14000 |guardian                      |2     |1     
14001 |guarnieri                     |2     |2     
14002 |gub                           |1     |1     
14003 |gubernamental                 |14    |14    
14004 |gubernamentalesosc            |1     |1     
14005 |gudin                         |1     |1     
14006 |guem                          |1     |1     
14007 |guerci                        |1     |1     
14008 |guerr                         |40    |6     
14009 |guerrer                       |2     |2     
14010 |guess                         |1     |1     
14011 |guest                         |1     |1     
14012 |guev                          |1     |1     
14013 |gui                           |46    |45    
14014 |guiaf                         |1     |1     
14015 |guichard                      |3     |1     
14016 |guid                          |5     |5     
14017 |guidi                         |1     |1     
14018 |guidoc@biol.unlp.edu.ar       |1     |1     
14019 |guidoni                       |1     |1     
14020 |guill                         |2     |2     
14021 |guillerm                      |25    |25    
14022 |guillermet                    |1     |1     
14023 |guillermin                    |3     |3     
14024 |guillermotitul                |1     |1     
14025 |guilllerm                     |1     |1     
14026 |guillon                       |1     |1     
14027 |guinness                      |2     |2     
14028 |guion                         |3     |3     
14029 |guionist                      |4     |4     
14030 |guira                         |1     |1     
14031 |guis                          |1     |1     
14032 |guitarr                       |2     |2     
14033 |gumersind                     |2     |1     
14034 |gurm                          |1     |1     
14035 |gust                          |1     |1     
14036 |gustari                       |2     |1     
14037 |gustav                        |21    |21    
14038 |gutarr                        |1     |1     
14039 |gutierrez                     |7     |6     
14040 |guyot                         |1     |1     
14041 |guzm                          |1     |1     
14042 |gvirtz                        |1     |1     
14043 |gymansium                     |1     |1     
14044 |gymnas                        |18    |1     
14045 |gymnasium                     |20    |1     
14046 |gymnasium21                   |1     |1     
14047 |gymnasiums                    |1     |1     
14048 |gymnastics                    |1     |1     
14049 |gzanetti0hac                  |4     |1     
14050 |h1n1                          |2     |2     
14051 |h5n1                          |1     |1     
14052 |h6vk9                         |1     |1     
14053 |haaretz                       |1     |1     
14054 |hab                           |33    |32    
14055 |haban                         |5     |4     
14056 |habenari                      |1     |1     
14057 |haber                         |3     |3     
14058 |habi                          |10    |10    
14059 |habil                         |9     |9     
14060 |habilit                       |40    |34    
14061 |habilitaci                    |1     |1     
14062 |habilitacion                  |3     |2     
14063 |habilital                     |1     |1     
14064 |habit                         |14    |14    
14065 |habitacin                     |1     |1     
14066 |habitacion                    |2     |1     
14067 |habitacional                  |5     |5     
14068 |habitat                       |4     |4     
14069 |habitu                        |2     |1     
14070 |habitual                      |7     |7     
14071 |habitus                       |1     |1     
14072 |habl                          |16    |16    
14073 |hablant                       |5     |1     
14074 |habr                          |7     |7     
14075 |habri                         |6     |1     
14076 |habud                         |1     |1     
14077 |hac                           |95    |95    
14078 |hach                          |2     |1     
14079 |haci                          |45    |45    
14080 |haciend                       |6     |5     
14081 |hacienda@unsl.edu.ar          |1     |1     
14082 |hacin                         |1     |1     
14083 |hack                          |2     |1     
14084 |hackers                       |3     |1     
14085 |had                           |2     |2     
14086 |hadd                          |7     |1     
14087 |hag                           |27    |27    
14088 |hagal                         |1     |1     
14089 |haide                         |1     |1     
14090 |haiti                         |3     |1     
14091 |halaband                      |1     |1     
14092 |halign                        |8     |1     
14093 |hall                          |11    |11    
14094 |hallazg                       |6     |3     
14095 |halls                         |1     |1     
14096 |halperin                      |2     |1     
14097 |hamberg                       |1     |1     
14098 |hamilton                      |1     |1     
14099 |hamlet                        |11    |1     
14100 |hamurabi                      |1     |1     
14101 |han                           |63    |58    
14102 |hand                          |8     |6     
14103 |handball                      |2     |1     
14104 |handbol                       |1     |1     
14105 |handrade@unm.edu.ar           |2     |1     
14106 |handshak                      |1     |1     
14107 |hanek                         |1     |1     
14108 |hans                          |1     |1     
14109 |har                           |12    |12    
14110 |harari                        |4     |3     
14111 |harari10                      |1     |1     
14112 |harari11                      |1     |1     
14113 |hardwar                       |2     |2     
14114 |hari                          |1     |1     
14115 |harin                         |1     |1     
14116 |harn                          |2     |2     
14117 |hart                          |1     |1     
14118 |harvard                       |24    |3     
14119 |harz                          |1     |1     
14120 |has                           |13    |13    
14121 |hash                          |2     |1     
14122 |hashtags                      |1     |1     
14123 |hasn                          |1     |1     
14124 |hasreqestedversion            |3     |1     
14125 |hast                          |86    |86    
14126 |hastip                        |2     |1     
14127 |haut                          |1     |1     
14128 |hav                           |7     |7     
14129 |hay                           |53    |53    
14130 |hayde                         |1     |1     
14131 |haz                           |3     |3     
14132 |hbacarini@unlu.edu.ar         |2     |1     
14133 |hbsag                         |1     |1     
14134 |hcd                           |4     |1     
14135 |hci                           |1     |1     
14136 |hcs                           |1     |1     
14137 |hdm                           |1     |1     
14138 |head                          |15    |15    
14139 |header2                       |4     |1     
14140 |headernam                     |4     |1     
14141 |headerright                   |1     |1     
14142 |headers                       |2     |2     
14143 |headings                      |2     |1     
14144 |heb                           |1     |1     
14145 |hebert                        |1     |1     
14146 |hebre                         |3     |1     
14147 |hebrew                        |3     |3     
14148 |hecatomb                      |1     |1     
14149 |hech                          |24    |24    
14150 |hecht                         |1     |1     
14151 |hectar                        |2     |2     
14152 |hector                        |14    |12    
14153 |hedig                         |1     |1     
14154 |hedon                         |1     |1     
14155 |heg                           |1     |1     
14156 |hegel                         |3     |1     
14157 |hegelian                      |2     |1     
14158 |hegemon                       |2     |2     
14159 |heidegg                       |5     |1     
14160 |height                        |75    |73    
14161 |heis                          |1     |1     
14162 |hel                           |4     |4     
14163 |helg                          |1     |1     
14164 |hellin                        |1     |1     
14165 |helmut                        |1     |1     
14166 |help                          |5     |5     
14167 |helpdesk                      |1     |1     
14168 |heluan                        |1     |1     
14169 |helvet                        |23    |21    
14170 |hem                           |13    |13    
14171 |hematfag                      |1     |1     
14172 |hematolg                      |1     |1     
14173 |hematologi                    |3     |3     
14174 |hematopoyet                   |1     |1     
14175 |hembr                         |1     |1     
14176 |hemerotec                     |8     |7     
14177 |hemigraben                    |1     |1     
14178 |hemisferi                     |1     |1     
14179 |hemoaglutinogen               |1     |1     
14180 |hemoderiv                     |1     |1     
14181 |hemoglobin                    |1     |1     
14182 |hemogram                      |4     |1     
14183 |hemolit                       |1     |1     
14184 |hemorreologi                  |1     |1     
14185 |hemoterapi                    |2     |2     
14186 |hendez                        |1     |1     
14187 |henri                         |1     |1     
14188 |henrik                        |1     |1     
14189 |henriqu                       |1     |1     
14190 |henriquez                     |2     |1     
14191 |henry                         |1     |1     
14192 |hepatitis                     |3     |3     
14193 |her                           |22    |19    
14194 |heraclit                      |1     |1     
14195 |herald                        |4     |2     
14196 |herbari                       |3     |2     
14197 |herbarioherbari               |1     |1     
14198 |herbic                        |3     |2     
14199 |hered                         |3     |2     
14200 |hereder                       |4     |1     
14201 |hereditari                    |2     |2     
14202 |herenci                       |3     |2     
14203 |hergenred                     |1     |1     
14204 |herm                          |3     |3     
14205 |herman                        |11    |10    
14206 |hermand                       |1     |1     
14207 |hermanit                      |1     |1     
14208 |hermos                        |1     |1     
14209 |hern                          |6     |5     
14210 |hernandez                     |8     |8     
14211 |hero                          |1     |1     
14212 |heroism                       |1     |1     
14213 |herrameint                    |1     |1     
14214 |herramient                    |46    |45    
14215 |herrer                        |6     |6     
14216 |herrera4imagen                |1     |1     
14217 |herrik                        |4     |1     
14218 |herv                          |3     |1     
14219 |herzog                        |1     |1     
14220 |heteogen                      |2     |1     
14221 |heterodox                     |2     |1     
14222 |heteroepitexial               |1     |1     
14223 |heterogen                     |4     |4     
14224 |heterogene                    |2     |2     
14225 |heterogeneous                 |1     |1     
14226 |heterologous                  |1     |1     
14227 |heteronom                     |1     |1     
14228 |heteronomi                    |3     |1     
14229 |heuristics                    |1     |1     
14230 |hex                           |4     |4     
14231 |hey                           |1     |1     
14232 |hgroup                        |1     |1     
14233 |hianci                        |1     |1     
14234 |hibr                          |1     |1     
14235 |hic                           |7     |7     
14236 |hicolor                       |1     |1     
14237 |hid                           |14    |3     
14238 |hidalg                        |1     |1     
14239 |hidd                          |17    |17    
14240 |hideonmouseout                |40    |2     
14241 |hidesiblings                  |1     |1     
14242 |hiding                        |1     |1     
14243 |hidr                          |1     |1     
14244 |hidraul                       |5     |5     
14245 |hidraulic                     |1     |1     
14246 |hidric                        |5     |5     
14247 |hidricas20                    |2     |1     
14248 |hidroelectr                   |2     |2     
14249 |hidrogen                      |2     |2     
14250 |hidrolog                      |3     |3     
14251 |hidrologi                     |4     |3     
14252 |hier                          |2     |1     
14253 |hierb                         |1     |1     
14254 |hierr                         |3     |2     
14255 |hig                           |4     |3     
14256 |high                          |26    |25    
14257 |highlight                     |9     |8     
14258 |highlighting                  |8     |1     
14259 |highlightit                   |4     |1     
14260 |highly                        |3     |1     
14261 |highslid                      |17    |2     
14262 |higien                        |19    |17    
14263 |higuchi                       |1     |1     
14264 |higuer                        |1     |1     
14265 |hij                           |11    |11    
14266 |hil                           |15    |9     
14267 |hilari                        |1     |1     
14268 |hilbert                       |1     |1     
14269 |hild                          |2     |1     
14270 |himn                          |5     |4     
14271 |hincapi                       |4     |4     
14272 |hinch                         |3     |2     
14273 |hip                           |1     |1     
14274 |hiper0imagen                  |1     |1     
14275 |hiperfin                      |1     |1     
14276 |hiperkinesis                  |1     |1     
14277 |hipermedial                   |5     |5     
14278 |hipermetropi                  |1     |1     
14279 |hipermod                      |1     |1     
14280 |hipermodern                   |1     |1     
14281 |hiperplasi                    |1     |1     
14282 |hiperpod                      |1     |1     
14283 |hipervincul                   |1     |1     
14284 |hipoacus                      |3     |3     
14285 |hipoacusi                     |1     |1     
14286 |hipocentr                     |1     |1     
14287 |hipolit                       |2     |2     
14288 |hipotacari                    |1     |1     
14289 |hipotesis                     |5     |3     
14290 |hipotiroid                    |1     |1     
14291 |hippeastrum                   |1     |1     
14292 |hirpac                        |1     |1     
14293 |his                           |2     |2     
14294 |hisb                          |1     |1     
14295 |hispan                        |2     |1     
14296 |hispanoamerican               |2     |2     
14297 |hist                          |1     |1     
14298 |histats                       |2     |1     
14299 |histeducarg                   |1     |1     
14300 |histele                       |8     |3     
14301 |hister                        |1     |1     
14302 |histiori                      |1     |1     
14303 |histoir                       |2     |1     
14304 |histologi                     |3     |3     
14305 |histor                        |42    |42    
14306 |histori                       |107   |107   
14307 |historiadirector              |1     |1     
14308 |historiael                    |6     |1     
14309 |historial                     |6     |6     
14310 |historiaofert                 |1     |1     
14311 |historicadocentesn            |2     |1     
14312 |historiet                     |2     |2     
14313 |historiograf                  |2     |2     
14314 |historiografi                 |5     |5     
14315 |historiqu                     |5     |1     
14316 |history                       |1     |1     
14317 |hit                           |7     |4     
14318 |hitor                         |1     |1     
14319 |hits                          |1     |1     
14320 |hiv                           |3     |3     
14321 |hiz                           |15    |15    
14322 |hkuhn@citefa.gov.ar           |1     |1     
14323 |hlopez@unlu.edu.ar            |1     |1     
14324 |hnert                         |1     |1     
14325 |hobb                          |3     |1     
14326 |hoc                           |5     |4     
14327 |hockey                        |2     |1     
14328 |hocsm                         |1     |1     
14329 |hoff                          |1     |1     
14330 |hofm                          |1     |1     
14331 |hog                           |8     |8     
14332 |hogar                         |7     |6     
14333 |hohenberg                     |2     |1     
14334 |hoj                           |21    |21    
14335 |hokk                          |1     |1     
14336 |hol                           |3     |3     
14337 |holand                        |1     |1     
14338 |holandes                      |1     |1     
14339 |holds                         |1     |1     
14340 |holguin                       |1     |1     
14341 |holist                        |2     |2     
14342 |holstein                      |1     |1     
14343 |hom                           |42    |42    
14344 |hombr                         |13    |13    
14345 |homenaj                       |15    |14    
14346 |homenaje                      |1     |1     
14347 |homeopat                      |1     |1     
14348 |homeopati                     |1     |1     
14349 |homepag                       |4     |2     
14350 |homer                         |3     |2     
14351 |homicidi                      |3     |3     
14352 |homini                        |1     |1     
14353 |homm                          |1     |1     
14354 |homogen                       |1     |1     
14355 |homogene                      |5     |4     
14356 |homogeneiz                    |2     |2     
14357 |homogeneizacion               |2     |1     
14358 |homolog                       |6     |4     
14359 |homologaci                    |2     |1     
14360 |homologacion                  |1     |1     
14361 |homosexual                    |1     |1     
14362 |homuncul                      |1     |1     
14363 |hond                          |1     |1     
14364 |honest                        |5     |2     
14365 |hong                          |3     |3     
14366 |honor                         |18    |18    
14367 |honorari                      |3     |3     
14368 |honorem                       |1     |1     
14369 |honorf                        |1     |1     
14370 |honoris                       |8     |8     
14371 |honr                          |2     |2     
14372 |hopenhayn                     |1     |1     
14373 |hopkins                       |2     |1     
14374 |hor                           |50    |50    
14375 |horaci                        |10    |8     
14376 |horari                        |75    |73    
14377 |horarios                      |1     |1     
14378 |horc                          |3     |3     
14379 |hord                          |7     |3     
14380 |horizont                      |6     |6     
14381 |horizontal                    |2     |2     
14382 |horizontaljquery              |2     |2     
14383 |horizontally                  |6     |1     
14384 |horkheim                      |1     |1     
14385 |hormig                        |1     |1     
14386 |hormigon                      |3     |2     
14387 |hormiguer                     |1     |1     
14388 |hormon                        |3     |3     
14389 |hormonal                      |1     |1     
14390 |horn                          |2     |1     
14391 |hornstein                     |2     |1     
14392 |horot                         |1     |1     
14393 |horrend                       |2     |1     
14394 |horribl                       |2     |1     
14395 |horror                        |5     |1     
14396 |horstein                      |1     |1     
14397 |hortaliz                      |4     |3     
14398 |hortalizasdocent              |1     |1     
14399 |horticol                      |2     |2     
14400 |horticultur                   |6     |1     
14401 |hosp                          |1     |1     
14402 |hospital                      |20    |19    
14403 |hospitalari                   |5     |5     
14404 |host                          |2     |2     
14405 |hostal                        |2     |1     
14406 |hostbibliotec                 |1     |1     
14407 |hostig                        |1     |1     
14408 |hostil                        |5     |2     
14409 |hosting                       |2     |2     
14410 |hoteis                        |2     |1     
14411 |hotel                         |27    |5     
14412 |hotelcolonjunin@speedy.com.ar |2     |1     
14413 |hotelembajador@infovia.com.ar |2     |1     
14414 |hoteler                       |11    |9     
14415 |hoteleralicenciatur           |7     |1     
14416 |hoteleri                      |3     |3     
14417 |hotelnehuen@yahoo.com.ar      |2     |1     
14418 |hotels                        |7     |1     
14419 |hotkeys                       |4     |1     
14420 |hotmail                       |1     |1     
14421 |hours                         |7     |3     
14422 |hous                          |4     |1     
14423 |housing                       |2     |1     
14424 |houston                       |2     |2     
14425 |hov                           |41    |39    
14426 |hoy                           |38    |38    
14427 |hoy76ayer46est                |1     |1     
14428 |hoy79ayer110est               |1     |1     
14429 |hoy94ayer99est                |1     |1     
14430 |hoyinauguracion               |1     |1     
14431 |hoyuel                        |1     |1     
14432 |hoyuelosc                     |2     |1     
14433 |hoyuelosfech                  |3     |1     
14434 |hoz                           |1     |1     
14435 |hozbor                        |1     |1     
14436 |hozbor@biol.unlp.edu.ar       |1     |1     
14437 |hplc                          |1     |1     
14438 |hpv                           |2     |1     
14439 |href                          |34    |31    
14440 |hrs                           |2     |2     
14441 |hrvatski                      |2     |2     
14442 |hscentr                       |1     |1     
14443 |hsinstitut                    |11    |1     
14444 |hspun                         |1     |1     
14445 |hssal                         |1     |1     
14446 |htal                          |1     |1     
14447 |htdocs                        |1     |1     
14448 |htm                           |10    |8     
14449 |htm07                         |69    |1     
14450 |html                          |33    |31    
14451 |html02                        |2     |1     
14452 |html07                        |1     |1     
14453 |html09                        |2     |1     
14454 |html10                        |4     |1     
14455 |html12                        |2     |1     
14456 |html15                        |8     |1     
14457 |html16                        |16    |1     
14458 |html21                        |4     |1     
14459 |html23                        |3     |1     
14460 |htmlmiercol                   |1     |1     
14461 |htmmart                       |1     |1     
14462 |htmmiercol                    |1     |1     
14463 |http                          |3     |3     
14464 |http://,                      |1     |1     
14465 |http://1jornadascyt.ct.unt.edu.ar/|1     |1     
14466 |http://accesoabierto2011.caicyt.gov.ar|3     |1     
14467 |http://asyt.fcm.unr.edu.ar    |1     |1     
14468 |http://aulavirtual.cea.unc.edu.ar/|1     |1     
14469 |http://bibliotecas.unr.edu.ar/|4     |1     
14470 |http://blogs.sun.com/argentina_ambassador|1     |1     
14471 |http://c.svlu.net/cjs.aspx    |1     |1     
14472 |http://celadel.blogspot.com/  |1     |1     
14473 |http://correo.nacio.unlp.edu.ar/|6     |1     
14474 |http://creativecommons.org/international/ar/|1     |1     
14475 |http://csi.gstatic.com/csi    |1     |1     
14476 |http://csi.gstatic.com/csi'); |1     |1     
14477 |http://dcm.unr.edu.ar         |1     |1     
14478 |http://desarrollo.unq.edu.ar/stats/visitas/|3     |1     
14479 |http://docs.moodle.org/es/documentaci%c3%b3n_para_profesores|1     |1     
14480 |http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab|22    |20    
14481 |http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab','pluginspage','http://www.macromedia.com/go/getflashplayer','src','images/cubo.swf');|1     |1     
14482 |http://entornovirtual.unl.edu.ar|1     |1     
14483 |http://es.wikipedia.org/wiki/rip!:_a_remix_manifesto|1     |1     
14484 |http://extension.unicen.edu.ar/blog/|3     |1     
14485 |http://extension.unicen.edu.ar/cultura/|4     |1     
14486 |http://faa.unse.edu.ar/index.html|3     |1     
14487 |http://fadeweb.uncoma.edu.ar. |1     |1     
14488 |http://fahuweb.uncoma.edu.ar/modules/mod_yj_live_search/helper.php',|1     |1     
14489 |http://fcf.unse.edu.ar/       |3     |1     
14490 |http://ffyl.uncu.edu.ar/egresadostel|1     |1     
14491 |http://fhu.unse.edu.ar        |3     |1     
14492 |http://fisica.mdp.edu.ar      |4     |1     
14493 |http://flowplayer.org/tools/documentation/basics.html|1     |1     
14494 |http://fpdownload.macromedia.com/get/flashplayer/current/swflash.cab',|2     |1     
14495 |http://hamers.chem.wisc.edu/chapman/acidbase/|1     |1     
14496 |http://historiapolitica.com/cehp/|2     |2     
14497 |http://ibone.unne.edu.ar      |1     |1     
14498 |http://ibone.unne.edu.ar/index.php?varbotpcipal=bsq&varbotsec=buscar2|1     |1     
14499 |http://iciecymiienem.sites.exa.unicen.edu.ar/_/tz',|1     |1     
14500 |http://iifap.proed.unc.edu.ar |1     |1     
14501 |http://image.backup.captchas.net');|1     |1     
14502 |http://journal.info.unlp.edu.ar/journal/|1     |1     
14503 |http://juanfilloy.bib.unrc.edu.ar/|1     |1     
14504 |http://kimili.com             |2     |1     
14505 |http://koha.unsam.edu.ar/.    |1     |1     
14506 |http://labremf4a.fceia.unr.edu.ar/estmeteorologica/actuales.xml',|2     |1     
14507 |http://libnet.unse.edu.ar/    |3     |1     
14508 |http://med.unne.edu.ar        |1     |1     
14509 |http://med.unne.edu.ar/novedades/3272_11.pdf|1     |1     
14510 |http://med.unne.edu.ar/novedades/concurso2011.pdf|1     |1     
14511 |http://med.unne.edu.ar/novedades/prestamo.pdf|1     |1     
14512 |http://med.unne.edu.ar/novedades/todopos.htm|1     |1     
14513 |http://osum.sun.com/group/unnoba|1     |1     
14514 |http://platdig.unlu.edu.ar/1/acceso.cgi?query=&id_curso=&widseccion=82');|1     |1     
